"Guest Component Erasure Strategy","Guest Component Erasure Strategy"
"Defines the components erasure strategy with the component/erase processor mapper for the guests.","Defines the components erasure strategy with the component/erase processor mapper for the guests."
Anonymization,Anonymization
"Delete Customer if no Orders","Delete Customer if no Orders"
"We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor.","We will delete the customer if he has no orders. It's only applicable if the component ""customer"" use the ""anonymize"" processor."
"Customer Attributes Anonymizers","Customer Attributes Anonymizers"
"Customer Custom Attributes Anonymizers","Customer Custom Attributes Anonymizers"
"Customer Extensible Data Anonymizers","Customer Extensible Data Anonymizers"
"Customer Address Attributes Anonymizers","Customer Address Attributes Anonymizers"
"Customer Address Custom Attributes Anonymizers","Customer Address Custom Attributes Anonymizers"
"Customer Address Extensible Data Anonymizers","Customer Address Extensible Data Anonymizers"
"Quote Attributes Anonymizers","Quote Attributes Anonymizers"
"Quote Custom Attributes Anonymizers","Quote Custom Attributes Anonymizers"
"Quote Extensible Data Anonymizers","Quote Extensible Data Anonymizers"
"Quote Address Attributes Anonymizers","Quote Address Attributes Anonymizers"
"Quote Address Custom Attributes Anonymizers","Quote Address Custom Attributes Anonymizers"
"Quote Address Extensible Data Anonymizers","Quote Address Extensible Data Anonymizers"
"Order Attributes Anonymizers","Order Attributes Anonymizers"
"Order Custom Attributes Anonymizers","Order Custom Attributes Anonymizers"
"Order Extensible Data Anonymizers","Order Extensible Data Anonymizers"
"Order Address Attributes Anonymizers","Order Address Attributes Anonymizers"
"Order Address Custom Attributes Anonymizers","Order Address Custom Attributes Anonymizers"
"Order Address Extensible Data Anonymizers","Order Address Extensible Data Anonymizers"
"Subscriber Attributes Anonymizers","Subscriber Attributes Anonymizers"
"Data Export","Data Export"
"Export Settings","Export Settings"
Export,Export
"It will enable the export action to the storefront.","It will enable the export action to the storefront."
Renderers,Renderers
"Select formats of the export. Notice: At least one human and one machine readable format should be selected.","Select formats of the export. Notice: At least one human and one machine readable format should be selected."
"Export File Name","Export File Name"
"We will use this value as file name of the document export.","We will use this value as file name of the document export."
"Export Scheduler","Export Scheduler"
"Export Life Time","Export Life Time"
"Export life time in minute before it is removed from the server.","Export life time in minute before it is removed from the server."
"Erase Expired Export Schedule","Erase Expired Export Schedule"
Customer,Customer
"Customer Attributes","Customer Attributes"
"This attributes list will be exported when processed.","This attributes list will be exported when processed."
"Customer Custom Attributes","Customer Custom Attributes"
Comma-separated,Comma-separated
"Customer Extensible Data","Customer Extensible Data"
"Customer Address Attributes","Customer Address Attributes"
"Customer Address Custom Attributes","Customer Address Custom Attributes"
"Customer Address Extensible Data","Customer Address Extensible Data"
"Quote Attributes","Quote Attributes"
"Quote Custom Attributes","Quote Custom Attributes"
"Quote Extensible Data","Quote Extensible Data"
"Quote Address Attributes","Quote Address Attributes"
"Quote Address Custom Attributes","Quote Address Custom Attributes"
"Quote Address Extensible Data","Quote Address Extensible Data"
"Order Attributes","Order Attributes"
"Order Custom Attributes","Order Custom Attributes"
"Order Extensible Data","Order Extensible Data"
"Order Address Attributes","Order Address Attributes"
"Order Address Custom Attributes","Order Address Custom Attributes"
"Order Address Extensible Data","Order Address Extensible Data"
"Subscriber Attributes","Subscriber Attributes"
Global,Global
General,General
Enabled,Enabled
"It will enable the module features in the admin and frontend ui.","It will enable the module features in the admin and frontend ui."
"Information page","Information page"
"This page should store information about privacy and GDPR policy.","This page should store information about privacy and GDPR policy."
"User Notification","User Notification"
Notification,Notification
"Pending Action","Pending Action"
"Email Sender","Email Sender"
"Pending Erasure Template","Pending Erasure Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Pending Erasure Template for Guest","Pending Erasure Template for Guest"
"Send Email Copy To","Send Email Copy To"
"Send Email Copy Method","Send Email Copy Method"
"Succeeded Action","Succeeded Action"
"Succeeded Erasure Template","Succeeded Erasure Template"
"Succeeded Erasure Template for Guest","Succeeded Erasure Template for Guest"
"Canceled Action","Canceled Action"
"Canceled Erasure Template","Canceled Erasure Template"
"Canceled Erasure Template for Guest","Canceled Erasure Template for Guest"
"Pending Export Template","Pending Export Template"
"Pending Export Template for Guest","Pending Export Template for Guest"
"Ready Action","Ready Action"
"Ready Export Template","Ready Export Template"
"Ready Export Template for Guest","Ready Export Template for Guest"
"Are you sure you want to erase the selected customers?","Are you sure you want to erase the selected customers?"
"Erase items","Erase items"
"Erase (GDPR)","Erase (GDPR)"
"Are you sure you want to export the selected customers?","Are you sure you want to export the selected customers?"
"Export items","Export items"
"Export (GDPR)","Export (GDPR)"
"New Action","New Action"
Type,Type
"Action types are registered in the code.","Action types are registered in the code."
Parameters,Parameters
"Add Parameter","Add Parameter"
Name,Name
Value,Value
Edit,Edit
"Are you sure you want to delete the action log?","Are you sure you want to delete the action log?"
"Delete items","Delete items"
Delete,Delete
ID,ID
"Performed From","Performed From"
"Performed By","Performed By"
"Performed At","Performed At"
State,State
Message,Message
"Privacy Settings","Privacy Settings"
